ecoregion,year,ba_mcd_native_Mha,ba_firecci_native_Mha
TAIGA SHIELD,2015,0.0304,0.0448
TEMPERATE PRAIRIES,2015,0.0,0.0
WATER,2015,0.0,0.0
WESTERN CORDILLERA,2015,0.0,0.0
Wetlands,2015,0.0368,0.0496
ALASKA BOREAL INTERIOR,2016,0.0272,0.064
ALASKA TUNDRA,2016,0.0,0.0
ARCTIC CORDILLERA,2016,0.0,0.0
Arctic Deserts and Tundra,2016,0.0208,0.0864
BOREAL CORDILLERA,2016,0.0032,0.0016
BOREAL PLAIN,2016,0.2912,0.4544
BROOKS RANGE TUNDRA,2016,0.0,0.0
Central Taiga,2016,1.3456,1.272
Forest Tundra,2016,0.0816,0.208
HUDSON PLAIN,2016,0.0,0.0
MARINE WEST COAST FOREST,2016,0.0,0.0
MIXED WOOD SHIELD,2016,0.0,0.0
Montane Boreal,2016,0.3536,1.1536
Montane Sub-Arctic,2016,0.1696,0.4096
Montane Sub-Boreal,2016,0.3856,0.512
NORTHERN ARCTIC,2016,0.0,0.0
Northern Taiga,2016,0.4432,0.5024
SOFTWOOD SHIELD,2016,0.128,0.1664
SOUTHERN ARCTIC,2016,0.0,0.0
Southern Taiga,2016,0.2912,0.2432
TAIGA CORDILLERA,2016,0.0,0.0
TAIGA PLAIN,2016,0.016,0.0144
TAIGA SHIELD,2016,0.0576,0.056
TEMPERATE PRAIRIES,2016,0.0,0.0
WATER,2016,0.0,0.0
WESTERN CORDILLERA,2016,0.0,0.0
Wetlands,2016,0.1408,0.264
ALASKA BOREAL INTERIOR,2017,0.048,0.1024
ALASKA TUNDRA,2017,0.0,0.0016
ARCTIC CORDILLERA,2017,0.0,0.0
Arctic Deserts and Tundra,2017,0.0128,0.0064
BOREAL CORDILLERA,2017,0.008,0.0176
BOREAL PLAIN,2017,0.0112,0.0112
BROOKS RANGE TUNDRA,2017,0.0,0.0
Central Taiga,2017,1.3072,1.4016
Forest Tundra,2017,0.016,0.0128
HUDSON PLAIN,2017,0.0368,0.0256
MARINE WEST COAST FOREST,2017,0.0,0.0
MIXED WOOD SHIELD,2017,0.0,0.0
Montane Boreal,2017,0.4416,0.5184
Montane Sub-Arctic,2017,0.0064,0.0352
Montane Sub-Boreal,2017,0.152,0.2272
NORTHERN ARCTIC,2017,0.0,0.0
Northern Taiga,2017,0.0352,0.0448
SOFTWOOD SHIELD,2017,0.2064,0.2656
SOUTHERN ARCTIC,2017,0.0,0.0
Southern Taiga,2017,0.2912,0.1824
TAIGA CORDILLERA,2017,0.1024,0.2048
TAIGA PLAIN,2017,0.088,0.1472
TAIGA SHIELD,2017,0.488,0.5104
TEMPERATE PRAIRIES,2017,0.0,0.0
WATER,2017,0.0,0.0
WESTERN CORDILLERA,2017,0.0,0.0
Wetlands,2017,0.088,0.1088
ALASKA BOREAL INTERIOR,2018,0.0048,0.0432
ALASKA TUNDRA,2018,0.0,0.0016
ARCTIC CORDILLERA,2018,0.0,0.0
Arctic Deserts and Tundra,2018,0.0,0.0048
BOREAL CORDILLERA,2018,0.2432,0.1504
BOREAL PLAIN,2018,0.0384,0.0224
BROOKS RANGE TUNDRA,2018,0.0,0.0
Central Taiga,2018,1.4192,1.7664
Forest Tundra,2018,0.0,0.0112
HUDSON PLAIN,2018,0.0032,0.0
MARINE WEST COAST FOREST,2018,0.0,0.0
MIXED WOOD SHIELD,2018,0.0,0.0
Montane Boreal,2018,0.648,0.9728
Montane Sub-Arctic,2018,0.192,0.2896
Montane Sub-Boreal,2018,0.08,0.1296
NORTHERN ARCTIC,2018,0.0,0.0
Northern Taiga,2018,0.7968,1.1504
SOFTWOOD SHIELD,2018,0.168,0.1344
SOUTHERN ARCTIC,2018,0.0,0.0016
Southern Taiga,2018,0.0688,0.072
TAIGA CORDILLERA,2018,0.0,0.0016
TAIGA PLAIN,2018,0.0128,0.0016
TAIGA SHIELD,2018,0.04,0.04
TEMPERATE PRAIRIES,2018,0.0,0.0
WATER,2018,0.0,0.0
WESTERN CORDILLERA,2018,0.0,0.0
Wetlands,2018,0.3216,0.5008
ALASKA BOREAL INTERIOR,2019,0.1424,0.3104
ALASKA TUNDRA,2019,0.0,0.0
ARCTIC CORDILLERA,2019,0.0,0.0
Arctic Deserts and Tundra,2019,0.0,0.0288
BOREAL CORDILLERA,2019,0.0368,0.1664
BOREAL PLAIN,2019,0.3328,0.2832
BROOKS RANGE TUNDRA,2019,0.0,0.0
Central Taiga,2019,2.1664,2.4528
Forest Tundra,2019,0.0,0.0032
HUDSON PLAIN,2019,0.0,0.0
